,year of founding,Internet Activity Score,Focus functions of company,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Amount,Country of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Renown score,Market Research,Marketing,Analytics,Software Development,Mobile,Enterprise Software,Media,Cloud Computing,Network / Hosting / Infrastructure,Social Networking,Retail,Entertainment,Healthcare,Energy,Search,Food & Beverages,Music,Publishing,Gaming,Email,Career / Job Search
0,,-1.0,operation,3.0,0.0,No,,450000.0,United States,2,0,1,2,2,Yes,4,Nothing,No,Small,No,No,No,No,Service,No,Private,No,Both,Yes,Platform,Global,Linear,Yes,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,High,High,Yes,Low,Masters,business,Yes,Yes,Tier_1,500,Medium,0,0,0,None,0,None,0,Low,Low,Yes,No,High,,No,No,Yes,No,No,No,,9626884,No,Yes,No,2.0,Low,0,1.5,0.45,,,11.56,,,0,,,,,,,,,,,,,,,,,,,,,
1,2011,125.0,"Marketing, sales",,,No,,,United States,5,0,2,0,4,No,0,medium,Yes,Large,Yes,Yes,No,No,Product,No,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Online,B2C,Low,High,Yes,High,Masters, Supply Chain Management & Entrepreneurship,Yes,Yes,Tier_1,500,High,0,0,0,Medium,13,None,34,High,Medium,Yes,No,Low,,No,Yes,Yes,No,No,Yes,Medium,1067034,Yes,Yes,No,3.0,Medium,0,6.666666667,5,Not Applicable,10,9,Trough,2 to 5,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2011,455.0,operations,14.0,0.0,No,12/1/2011,2350000.0,United States,15,0,3,0,7,No,0,low,Yes,Medium,No,No,No,No,Both,Yes,Private,Yes,Both,Yes,cloud,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,General,Yes,Yes,Tier_2,500,High,0,0,1,Medium,18,None,36,High,Medium,Yes,No,Low,,Yes,Yes,Yes,No,No,No,Low,71391,Yes,Yes,Yes,3.0,Medium,0,3.333333333,2.35,Not Applicable,2,7.344444444,Trough,2 to 5,9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2009,-99.0,Marketing & Sales,45.0,10.0,No,6/20/2009,10250000.0,United States,6,0,2,0,4,Yes,0,low,No,Large,Yes,Yes,No,No,Product,Yes,Public,Yes,Structured,Yes,Platform,Local,Non-Linear,No,Few,Yes,No,No,No,No,No,No,No,No,No,Online,B2C,Medium,Medium,Yes,Low,Bachelors,Computer Systems Engineering,Yes,Yes,Tier_2,,Low,0,0,0,Medium,2,None,15.5,Medium,Medium,Yes,No,Low,Good,No,Yes,Yes,No,No,No,Low,11847,No,Yes,Yes,4.0,Medium,2,10,10.25,Not Applicable,1,8.7,Trough,2 to 5,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2010,496.0,Marketing & Sales,39.0,3.0,No,4/1/2010,5500000.0,United States,7,0,1,1,8,No,0,high,No,Small,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors, Industrial Engineering and Computer Science,Yes,Yes,None,500,High,0,0,0,Low,5,Few,23,Medium,Medium,Yes,No,Low,Bad,Yes,Yes,Yes,No,No,No,Low,201814,Yes,Yes,No,3.0,Medium,0,10,5.5,Not Applicable,13,9.822222222,,,6,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2010,106.0,analytics,14.0,8.0,No,5/1/2010,1000000.0,United States,2,0,4,0,4,No,2,medium,No,Medium,No,No,No,No,Service,No,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Low,High,Yes,Medium,Masters,Political Science,No,No,None,500,Low,0,0,0,Low,5,None,25,Medium,Medium,Yes,No,Low,Good,No,Yes,No,Yes,No,No,High,591816,Yes,Yes,Yes,4.0,High,0,3.5,1,Not Applicable,12,9.322222222,Trigger,2 to 5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2011,39.0,Research,7.0,0.0,No,1/1/2011,2000000.0,United States,7,0,2,9,2,No,4,medium,No,Small,Yes,Yes,No,No,Both,Yes,Public,Yes,Unstructured,Yes,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,PhD,Electrical Eng,Yes,Yes,None,,Low,0,0,0,Low,1,None,21,Medium,Medium,Yes,No,Medium,,No,No,Yes,No,No,Yes,Low,2345574,Yes,Yes,No,3.0,Medium,0,5,2,Not Applicable,11,7.311111111,Trigger,2 to 5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2010,139.0,Computing,29.0,-12.0,No,1/1/2010,6700000.0,United States,0,0,3,4,4,No,0,medium,No,Large,Yes,Yes,No,No,Both,Yes,Private,No,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,Business management,Yes,Yes,Tier_1,500,Medium,0,0,0,High,5,Few,4.5,Medium,Medium,Yes,No,Low,Bad,No,No,Yes,No,No,No,Low,1015027,Yes,Yes,No,3.0,Medium,0,10,6.7,Not Applicable,20,6.4,Slope,2 to 5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2011,306.0,Marketing,16.0,45.0,No,1/1/2011,11000000.0,United States,13,0,2,0,2,No,0,medium,Yes,Medium,Yes,Yes,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,Yes,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Medium,High,Yes,High,Masters,Business management,Yes,Yes,Tier_1,500,High,0,0,0,Medium,13,None,48,Low,Medium,No,No,Low,,No,Yes,No,No,No,No,Low,256921,Yes,Yes,No,3.0,Medium,0,16.66666667,11,Not Applicable,18,12,Trough,2 to 5,5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2013,53.0,Research,3.0,,No,5/16/2013,3000000.0,United States,0,0,3,4,3,No,0,Nothing,Yes,Medium,Yes,Yes,No,No,Product,No,Public,Yes,Structured,No,Platform,Global,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,PhD,Biomedical Informatics ,Yes,Yes,Tier_1,500,High,0,0,0,Medium,1,None,25.5,Medium,High,Yes,No,Medium,,Yes,No,Yes,No,No,Yes,Low,3639779,No,Yes,No,1.0,Low,0,3,3,Not Applicable,5,5,Peak,5 to 10,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
