,Dependent-Company Status
0,Success
1,Success
2,Success
3,Success
4,Success
5,Success
6,Success
7,Success
8,Success
9,Success
10,Success
11,Success
12,Success
13,Success
14,Success
15,Success
16,Success
17,Success
18,Success
19,Success
20,Success
21,Success
22,Success
23,Success
24,Success
25,Success
26,Success
27,Success
28,Success
29,Success
30,Success
31,Success
32,Success
33,Success
34,Success
35,Success
36,Success
37,Success
38,Success
39,Success
40,Success
41,Success
42,Success
43,Success
44,Success
45,Success
46,Success
47,Success
48,Success
49,Failed
50,Success
51,Success
52,Success
53,Success
54,Success
55,Success
56,Success
57,Success
58,Success
59,Success
60,Success
61,Success
62,Success
63,Success
64,Success
65,Success
66,Success
67,Success
68,Success
69,Success
70,Success
71,Success
72,Success
73,Success
74,Success
75,Success
76,Success
77,Success
78,Success
79,Success
80,Success
81,Success
82,Success
83,Success
84,Success
85,Success
86,Success
87,Success
88,Success
89,Success
90,Success
91,Success
92,Success
93,Success
94,Success
95,Success
96,Success
97,Success
98,Success
99,Success
100,Success
101,Success
102,Success
103,Success
104,Success
105,Success
106,Success
107,Success
108,Success
109,Success
110,Success
111,Success
112,Success
113,Success
114,Success
115,Success
116,Success
117,Success
118,Success
119,Success
120,Success
121,Success
122,Success
123,Success
124,Success
125,Success
126,Success
127,Success
128,Success
129,Success
130,Success
131,Success
132,Success
133,Success
134,Success
135,Failed
136,Failed
137,Failed
138,Failed
139,Failed
140,Failed
141,Failed
142,Failed
143,Failed
144,Failed
145,Failed
146,Failed
147,Failed
148,Success
149,Failed
150,Failed
151,Success
152,Failed
153,Failed
154,Success
155,Success
156,Success
157,Success
158,Failed
159,Failed
160,Success
161,Success
162,Success
163,Success
164,Success
165,Success
166,Success
167,Success
168,Success
169,Failed
170,Success
171,Failed
172,Success
173,Success
174,Success
175,Success
176,Success
177,Success
178,Success
179,Success
180,Success
181,Success
182,Success
183,Success
184,Success
185,Success
186,Success
187,Success
188,Success
189,Success
190,Success
191,Success
192,Success
193,Success
194,Success
195,Success
196,Success
197,Success
198,Success
199,Success
200,Success
201,Success
202,Success
203,Success
204,Success
205,Success
206,Success
207,Success
208,Success
209,Success
210,Success
211,Success
212,Success
213,Success
214,Success
215,Success
216,Success
217,Success
218,Success
219,Success
220,Success
221,Success
222,Success
223,Failed
224,Failed
225,Success
226,Failed
227,Failed
228,Success
229,Success
230,Success
231,Success
232,Failed
233,Success
234,Success
235,Success
236,Failed
237,Success
238,Success
239,Success
240,Failed
241,Success
242,Success
243,Success
244,Success
245,Success
246,Success
247,Success
248,Success
249,Success
250,Success
251,Success
252,Success
253,Success
254,Success
255,Success
256,Success
257,Success
258,Success
259,Success
260,Success
261,Success
262,Failed
263,Failed
264,Success
265,Success
266,Failed
267,Failed
268,Success
269,Failed
270,Failed
271,Failed
272,Failed
273,Failed
274,Failed
275,Failed
276,Failed
277,Failed
278,Failed
279,Failed
280,Failed
281,Failed
282,Failed
283,Failed
284,Failed
285,Failed
286,Failed
287,Failed
288,Failed
289,Failed
290,Failed
291,Failed
292,Failed
293,Failed
294,Failed
295,Failed
296,Failed
297,Failed
298,Success
299,Success
300,Success
301,Success
302,Success
303,Success
304,Success
305,Success
306,Success
307,Success
308,Success
309,Success
310,Success
311,Success
312,Success
313,Success
314,Success
315,Success
316,Success
317,Success
318,Success
319,Success
320,Success
321,Success
322,Failed
323,Success
324,Success
325,Success
326,Success
327,Failed
328,Success
329,Success
330,Success
331,Success
332,Failed
333,Success
334,Success
335,Success
336,Success
337,Failed
338,Success
339,Failed
340,Success
341,Success
342,Failed
343,Success
344,Failed
345,Success
346,Success
347,Success
348,Success
349,Success
350,Success
351,Success
352,Success
353,Success
354,Success
355,Success
356,Success
357,Success
358,Success
359,Success
360,Success
361,Success
362,Success
363,Success
364,Success
365,Success
366,Success
367,Failed
368,Success
369,Failed
370,Failed
371,Success
372,Success
373,Failed
374,Failed
375,Success
376,Success
377,Failed
378,Success
379,Success
380,Failed
381,Failed
382,Failed
383,Failed
384,Failed
385,Failed
386,Failed
387,Failed
388,Failed
389,Failed
390,Failed
391,Failed
392,Failed
393,Failed
394,Failed
395,Failed
396,Failed
397,Failed
398,Failed
399,Failed
400,Failed
401,Failed
402,Failed
403,Failed
404,Failed
405,Failed
406,Failed
407,Failed
408,Failed
409,Failed
410,Failed
411,Failed
412,Failed
413,Failed
414,Failed
415,Failed
416,Failed
417,Failed
418,Failed
419,Failed
420,Failed
421,Failed
422,Failed
423,Failed
424,Failed
425,Failed
426,Failed
427,Failed
428,Failed
429,Failed
430,Failed
431,Failed
432,Failed
433,Failed
434,Failed
435,Failed
436,Failed
437,Failed
438,Failed
439,Failed
440,Failed
441,Failed
442,Failed
443,Failed
444,Failed
445,Failed
446,Failed
447,Failed
448,Failed
449,Failed
450,Failed
451,Failed
452,Failed
453,Failed
454,Failed
455,Failed
456,Failed
457,Failed
458,Failed
459,Failed
460,Failed
461,Failed
462,Failed
463,Failed
464,Failed
465,Failed
466,Failed
467,Failed
468,Failed
469,Failed
470,Failed
471,Failed
